구분1,구분2,구분3,등급
환경손상,동상/냉 손상,만성 말초성 통증(<8),5
소화기,구토/구역,"만성 구토/구역, 정상활력징후",5
귀질환,"이물질,귀",급성 말초성 경증 통증(<4),5
일반,경증 호소,만성 중심성 경증 통증(<4),5
피부,"이물질, 피부","이물질, 피부",5
심혈관,흉통(비 심인성),만성 말초성 통증(<8),5
일반,경증 호소,"경증 증상호소, 비특이적",5
안과,눈의 재검(Re-check),눈의 재확인,5
심혈관,양측성 다리부기/부종,"부종/양측성 다리부기, 만성",5
산부인과,질내 이물질,질내 이물질,5
비뇨기과,생식기의 외상,"생식기의 외상, 통증없음",5
산부인과,음순부종,음순부종,5
안과,"눈충혈,분비물",급성 말초성 경증 통증(<4),5
비뇨기과,생식기의 외상,만성 중심성 경증 통증(<4),5
피부,발진,급성 말초성 경증 통증(<4),5
피부,감염 가능성 확인,급성 말초성 경증 통증(<4),5
소화기,항문/직장외상,항문/직장 외상,5
피부,소양증,소양증,5
비뇨기과,음경부종,음경부종,5
피부,감염 가능성 확인,급성 말초성 경증 통증(<4),5
"이비인후과-입,인후,경부",경부부종/통증,만성 중심성 경증 통증(<4),5
피부,"이물질, 피부",급성 말초성 경증 통증(<4),5
신경과,두통,만성 중심성 경증 통증(<4),5
심혈관,흉통(비 심인성),만성 말초성 통증(<8),5
"이비인후과-입,인후,경부",치아/잇몸문제,급성 말초성 경증 통증(<4),5
피부,"혹,돌기,굳은살","혹,돌기,굳은살",5
비뇨기과,옆구리 통증,만성 중심성 경증 통증(<4),5
안과,안와주위 부종,급성 말초성 경증 통증(<4),5
"이비인후과-입,인후,경부",경부부종/통증,만성 중심성 경증 통증(<4),5
소화기,변비,단순변비,5
일반,반지제거,급성 말초성 경증 통증(<4),5
,,출혈),nan
,심장박동,,nan
,뜨거운 사지,,nan
,,출혈),nan
,,알려진 천식(중증),nan
,,장애는 없음,nan
,뜨거운 사지,,nan
,뜨거운 사지,,nan
,,출혈),nan
"이비인후과-입,인후,경부",,,nan
,,알려진 천식(중증),nan
,,출혈),nan
,,알려진 천식(중증),nan
,,알려진 천식(중증),nan
,,장애는 없음,nan
,뜨거운 사지,,nan
,심장박동,,nan
,,장애는 없음,nan
,,장애는 없음,nan
,,알려진 천식(중증),nan
,종괴,,nan
,뜨거운 사지,,nan
"이비인후과-입,인후,경부",,,nan
,,장애는 없음,nan
,심장박동,,nan
,종괴,,nan
,종괴,,nan
"이비인후과-입,인후,경부",,,nan
,,장애는 없음,nan
,심장박동,,nan
,뜨거운 사지,,nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
"이비인후과-입,인후,경부",,,nan
,종괴,,nan
,뜨거운 사지,,nan
,심장박동,,nan
"이비인후과-입,인후,경부",,,nan
"이비인후과-입,인후,경부",,,nan
,,알려진 천식(중증),nan
,,알려진 천식(중증),nan
,,출혈),nan
"이비인후과-입,인후,경부",,,nan
,,장애는 없음,nan
,심장박동,,nan
,심장박동,,nan
,,장애는 없음,nan
,,출혈),nan
,종괴,,nan
,종괴,,nan
,,출혈),nan
,종괴,,nan
,,알려진 천식(중증),nan
,심장박동,,nan
,,출혈),nan
,심장박동,,nan
,,장애는 없음,nan
"이비인후과-입,인후,경부",,,nan
,,알려진 천식(중증),nan
,뜨거운 사지,,nan
,,알려진 천식(중증),nan
,,출혈),nan
,뜨거운 사지,,nan
"이비인후과-입,인후,경부",,,nan
,,출혈),nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
,종괴,,nan
"이비인후과-입,인후,경부",,,nan
"이비인후과-입,인후,경부",,,nan
"이비인후과-입,인후,경부",,,nan
"이비인후과-입,인후,경부",,,nan
,뜨거운 사지,,nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
,심장박동,,nan
,,출혈),nan
,심장박동,,nan
,,출혈),nan
,심장박동,,nan
,뜨거운 사지,,nan
,,장애는 없음,nan
,,출혈),nan
,,알려진 천식(중증),nan
,종괴,,nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
"이비인후과-입,인후,경부",,,nan
,,장애는 없음,nan
,심장박동,,nan
"이비인후과-입,인후,경부",,,nan
,종괴,,nan
,종괴,,nan
,종괴,,nan
"이비인후과-입,인후,경부",,,nan
,심장박동,,nan
,종괴,,nan
,뜨거운 사지,,nan
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
2단계,3단계,4단계,등급
